Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
1018,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1019,,Where are you from?,Text Entry,,,
1020,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1021,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1022,,What is your phone number?,Text Entry,,,
1023,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1024,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1025,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1026,,Where are you from?,Text Entry,,,
1027,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1028,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1029,,What is your phone number?,Text Entry,,,
1030,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1031,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1032,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1033,,Where are you from?,Text Entry,,,
1034,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1035,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1036,,What is your phone number?,Text Entry,,,
1037,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1038,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1039,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1040,,Where are you from?,Text Entry,,,
1041,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1042,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1043,,What is your phone number?,Text Entry,,,
1044,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1045,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1046,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1047,,Where are you from?,Text Entry,,,
1048,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1049,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1050,,What is your phone number?,Text Entry,,,
1051,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1052,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1053,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1054,,Where are you from?,Text Entry,,,
1055,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1056,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1057,,What is your phone number?,Text Entry,,,
1058,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1059,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1060,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1061,,Where are you from?,Text Entry,,,
1062,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1063,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1064,,What is your phone number?,Text Entry,,,
1065,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1066,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1067,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1068,,Where are you from?,Text Entry,,,
1069,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1070,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1071,,What is your phone number?,Text Entry,,,
1072,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1073,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1074,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1075,,Where are you from?,Text Entry,,,
1076,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1077,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1078,,What is your phone number?,Text Entry,,,
1079,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1080,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1081,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1082,,Where are you from?,Text Entry,,,
1083,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1084,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1085,,What is your phone number?,Text Entry,,,
1086,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1087,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1088,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1089,,Where are you from?,Text Entry,,,
1090,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1091,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1092,,What is your phone number?,Text Entry,,,
1093,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1094,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1095,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1096,,Where are you from?,Text Entry,,,
1097,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1098,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1099,,What is your phone number?,Text Entry,,,
1100,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1101,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1102,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1103,,Where are you from?,Text Entry,,,
1104,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1105,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1106,,What is your phone number?,Text Entry,,,
1107,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1108,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1109,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1110,,Where are you from?,Text Entry,,,
1111,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1112,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1113,,What is your phone number?,Text Entry,,,
1114,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1115,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1116,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1117,Block 5,Where are you from?,Text Entry,,,
1118,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1119,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1120,,What is your phone number?,Text Entry,,,
1121,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1122,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1123,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1124,,Where are you from?,Text Entry,,,
1125,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1126,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1127,,What is your phone number?,Text Entry,,,
1128,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1129,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1130,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1131,,Where are you from?,Text Entry,,,
1132,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1133,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1134,,What is your phone number?,Text Entry,,,
1135,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1136,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1137,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1138,,Where are you from?,Text Entry,,,
1139,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1140,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1141,,What is your phone number?,Text Entry,,,
1142,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1143,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1144,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1145,,Where are you from?,Text Entry,,,
1146,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1147,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1148,,What is your phone number?,Text Entry,,,
1149,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1150,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1151,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1152,,Where are you from?,Text Entry,,,
1153,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1154,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1155,,What is your phone number?,Text Entry,,,
1156,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1157,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1158,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1159,,Where are you from?,Text Entry,,,
1160,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1161,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1162,,What is your phone number?,Text Entry,,,
1163,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1164,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1165,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1166,,Where are you from?,Text Entry,,,
1167,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1168,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1169,,What is your phone number?,Text Entry,,,
1170,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1171,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1172,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1173,,Where are you from?,Text Entry,,,
1174,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1175,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1176,,What is your phone number?,Text Entry,,,
1177,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1178,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1179,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1180,,Where are you from?,Text Entry,,,
1181,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1182,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1183,,What is your phone number?,Text Entry,,,
1184,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1185,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1186,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1187,,Where are you from?,Text Entry,,,
1188,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1189,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1190,,What is your phone number?,Text Entry,,,
1191,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1192,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1193,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1194,,Where are you from?,Text Entry,,,
1195,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1196,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1197,,What is your phone number?,Text Entry,,,
1198,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1199,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1200,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1201,,Where are you from?,Text Entry,,,
1202,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1203,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1204,,What is your phone number?,Text Entry,,,
1205,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1206,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1207,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1208,,Where are you from?,Text Entry,,,
1209,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1210,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1211,,What is your phone number?,Text Entry,,,
1212,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1213,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1214,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1215,,Where are you from?,Text Entry,,,
1216,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1217,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1218,,What is your phone number?,Text Entry,,,
1219,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1220,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1221,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1222,,Where are you from?,Text Entry,,,
1223,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1224,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1225,,What is your phone number?,Text Entry,,,
1226,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1227,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1228,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1229,,Where are you from?,Text Entry,,,
1230,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1231,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1232,,What is your phone number?,Text Entry,,,
1233,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1234,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1235,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1236,,Where are you from?,Text Entry,,,
1237,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1238,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1239,,What is your phone number?,Text Entry,,,
1240,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1241,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1242,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1243,,Where are you from?,Text Entry,,,
1244,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1245,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1246,,What is your phone number?,Text Entry,,,
1247,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1248,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1249,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1250,,Where are you from?,Text Entry,,,
1251,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1252,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1253,,What is your phone number?,Text Entry,,,
1254,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1255,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1256,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1257,,Where are you from?,Text Entry,,,
1258,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1259,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1260,,What is your phone number?,Text Entry,,,
1261,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1262,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1263,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1264,,Where are you from?,Text Entry,,,
1265,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1266,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1267,,What is your phone number?,Text Entry,,,
1268,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1269,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1270,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1271,,Where are you from?,Text Entry,,,
1272,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1273,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1274,,What is your phone number?,Text Entry,,,
1275,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1276,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1277,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1278,,Where are you from?,Text Entry,,,
1279,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1280,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1281,,What is your phone number?,Text Entry,,,
1282,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1283,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1284,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1285,,Where are you from?,Text Entry,,,
1286,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1287,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1288,,What is your phone number?,Text Entry,,,
1289,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1290,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1291,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1292,,Where are you from?,Text Entry,,,
1293,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1294,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1295,,What is your phone number?,Text Entry,,,
1296,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1297,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1298,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1299,,Where are you from?,Text Entry,,,
1300,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1301,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1302,,What is your phone number?,Text Entry,,,
1303,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1304,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1305,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1306,,Where are you from?,Text Entry,,,
1307,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1308,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1309,,What is your phone number?,Text Entry,,,
1310,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1311,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1312,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1313,,Where are you from?,Text Entry,,,
1314,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1315,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1316,,What is your phone number?,Text Entry,,,
1317,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1318,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1319,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1320,,Where are you from?,Text Entry,,,
1321,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1322,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1323,,What is your phone number?,Text Entry,,,
1324,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1325,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1326,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1327,,Where are you from?,Text Entry,,,
1328,Block 6,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1329,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1330,,What is your phone number?,Text Entry,,,
1331,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1332,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1333,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1334,,Where are you from?,Text Entry,,,
1335,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1336,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1337,,What is your phone number?,Text Entry,,,
1338,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1339,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1340,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1341,,Where are you from?,Text Entry,,,
1342,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1343,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1344,,What is your phone number?,Text Entry,,,
1345,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1346,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1347,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1348,,Where are you from?,Text Entry,,,
1349,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
